region,taxon
H,Sphagnum cuspidatum
H,Sphagnum cuspidatum
H,Sphagnum cuspidatum
R,Sphagnum cuspidatum
O,Sphagnum cuspidatum
R,Sphagnum cuspidatum
O,Sphagnum cuspidatum
G,Sphagnum cuspidatum
R,Sphagnum cuspidatum
Q,Sphagnum cuspidatum
H,Sphagnum cuspidatum
H,Sphagnum cuspidatum
G,Sphagnum cuspidatum
J,Sphagnum cuspidatum
O,Sphagnum cuspidatum
O,Sphagnum cuspidatum
Q,Sphagnum cuspidatum
H,Sphagnum cuspidatum
G,Sphagnum cuspidatum
J,Sphagnum cuspidatum
H,Sphagnum cuspidatum
J,Sphagnum cuspidatum
O,Sphagnum tenellum
H,Sphagnum tenellum
R,Sphagnum tenellum
H,Sphagnum tenellum
J,Sphagnum tenellum
O,Sphagnum tenellum
O,Sphagnum tenellum
J,Sphagnum tenellum
Q,Sphagnum tenellum
G,Sphagnum tenellum
R,Sphagnum tenellum
Q,Sphagnum tenellum
G,Sphagnum tenellum
R,Sphagnum tenellum
G,Sphagnum tenellum
G,Sphagnum tenellum
G,Sphagnum tenellum
Q,Sphagnum tenellum
R,Sphagnum tenellum
O,Sphagnum tenellum
R,Sphagnum tenellum
H,Sphagnum tenellum
J,Sphagnum tenellum
G,Sphagnum tenellum
G,Sphagnum tenellum
J,Sphagnum tenellum
Q,Sphagnum tenellum
G,Sphagnum tenellum
J,Sphagnum tenellum
H,Sphagnum tenellum
H,Sphagnum tenellum
J,Sphagnum tenellum
G,Sphagnum tenellum
Q,Sphagnum tenellum
Q,Sphagnum tenellum
R,Sphagnum tenellum
H,Sphagnum cuspidatum
H,Sphagnum cuspidatum
H,Sphagnum fallax
H,Sphagnum papillosum
H,Sphagnum tenellum
H,Sphagnum magellanicum
H,Sphagnum cuspidatum
J,Sphagnum fallax
H,Sphagnum magellanicum
G,Sphagnum magellanicum
J,Sphagnum fallax
J,Sphagnum fallax
G,Sphagnum fallax
G,Sphagnum papillosum
